p,d,q,AIC,converged
4,2,5,85.29755762615507,False
5,0,6,32958.38326665848,True
2,0,6,32960.525273374195,True
6,0,6,32964.539835074625,True
4,0,6,32964.72924860151,True
3,0,6,32980.14482564578,True
2,0,4,33067.96679628304,True
3,0,5,33079.47190172064,True
6,0,4,33090.4638668278,True
3,0,1,33090.91449560171,True
4,0,2,33091.17757771362,True
3,0,2,33092.08032773528,True
4,0,1,33092.09314498254,True
4,0,3,33093.42018321043,True
3,0,3,33094.05303917201,True
5,0,2,33094.22803788726,True
2,0,3,33094.23024620516,True
6,0,5,33094.581351479006,True
6,0,2,33094.84972788133,True
4,0,4,33095.54839152661,True
3,0,4,33096.26486909045,True
5,0,3,33096.59918635592,True
6,0,3,33097.31802103745,True
5,0,4,33097.409241744186,True
4,0,5,33097.67414999675,True
5,0,5,33099.43816494583,True
1,1,3,33099.89489531038,True
4,1,1,33100.50932390569,True
2,1,4,33101.17063513199,True
1,1,4,33101.72618915009,True
2,1,3,33102.009338395816,True
2,0,5,33102.23860724062,True
5,1,1,33102.27979261427,True
6,1,1,33102.4378938112,True
6,1,4,33103.25369374009,True
5,1,5,33103.40780735276,True
1,0,2,33104.129054484656,True
5,1,2,33104.48065015559,True
2,1,5,33104.66351349627,True
4,0,0,33104.693498444554,True
2,1,6,33104.748820622684,True
3,1,5,33105.31217957228,True
3,1,4,33105.4965098554,True
2,0,2,33105.77020793633,True
1,0,3,33105.796625824616,True
4,1,2,33105.970370838855,True
6,1,2,33106.26081428045,True
3,1,1,33106.40294923089,True
5,0,0,33106.445970790184,True
5,1,6,33106.52886703367,True
6,0,0,33106.55833732669,True
3,1,6,33106.81493551792,True
4,1,6,33107.05756803407,True
1,0,4,33107.788679543475,True
3,1,3,33107.99221100722,True
2,1,2,33107.99978475057,True
5,0,1,33108.68832885272,True
6,0,1,33108.9607511193,True
6,1,5,33108.9629726679,True
1,0,5,33108.98800100965,True
2,1,1,33109.05733871987,True
4,1,5,33109.6868100222,True
3,1,2,33110.497513112205,True
1,0,6,33110.605177401325,True
3,0,0,33110.68153567481,True
5,1,3,33112.0216012857,True
4,1,4,33112.08056275785,True
2,0,1,33112.33048380693,True
4,1,3,33112.95619219956,True
2,0,0,33113.43229547161,True
0,1,6,33114.84688602778,True
0,0,6,33115.72446763318,True
6,1,6,33116.258838411406,True
5,1,4,33118.05493731222,True
0,0,5,33118.82377759127,True
6,1,3,33129.037689630844,True
6,2,5,33131.42754731411,True
1,1,6,33132.761781579145,True
0,1,5,33134.19523917996,True
1,1,2,33134.44709153213,True
0,0,4,33138.03793220726,True
1,0,1,33138.818195385866,True
5,2,5,33139.897018820695,True
0,2,6,33144.96035103995,True
0,1,4,33173.74204789626,True
1,1,5,33176.941413239736,True
0,0,3,33177.42075527331,True
1,2,6,33189.824768961844,True
0,2,5,33198.20644048628,True
6,2,6,33211.366849098675,True
1,1,1,33226.6685025435,True
1,0,0,33230.63010175621,True
2,2,3,33244.59765429034,True
1,2,2,33255.32241826602,True
3,2,4,33272.94115666514,True
5,2,6,33293.28533130812,True
0,1,3,33313.56448033366,True
0,0,2,33316.98015501014,True
2,2,6,33328.77228638615,True
0,2,4,33330.87072057727,True
1,2,5,33333.64616661973,True
6,1,0,33381.685744584494,True
6,2,1,33382.79223124728,True
5,1,0,33399.4345434108,True
5,2,1,33400.39362487961,True
6,2,2,33404.34627315887,True
4,1,0,33418.28480198834,True
4,2,1,33419.07230766938,True
5,2,2,33423.06414259789,True
5,2,3,33424.41676158167,True
4,2,6,33426.556230517526,True
6,2,3,33427.02160365041,True
3,2,6,33428.64115460555,True
0,1,2,33434.0325870926,True
2,2,5,33434.0771901485,True
0,2,3,33434.912387892255,True
0,1,1,33435.053320455736,True
0,2,2,33435.82156070403,True
2,2,4,33438.191596794815,True
3,2,5,33438.434926810354,True
1,2,3,33438.69816809693,True
1,2,4,33438.86997163831,True
6,2,4,33444.09895450091,True
4,2,2,33450.726697025646,True
3,1,0,33451.35854175239,True
3,2,1,33451.93299795524,True
2,1,0,33465.0551213431,True
2,2,1,33465.49932004875,True
3,2,2,33468.861637455324,True
4,2,3,33469.69936987211,True
5,2,4,33472.35266153599,True
2,2,2,33485.29269074066,True
4,2,4,33485.993373987534,True
1,1,0,33486.841490169245,True
1,2,1,33487.15441656759,True
3,2,3,33491.72331228337,True
0,0,1,33691.97579313648,True
0,2,1,33916.56191125478,True
0,1,0,33916.648409101384,True
6,2,0,34037.061481447454,True
5,2,0,34162.06840231383,True
4,2,0,34281.127749120154,True
0,0,0,34413.87328324883,True
3,2,0,34454.16239385912,True
2,2,0,34676.85811903376,True
1,2,0,35218.23133969282,True
0,2,0,36876.77539072142,True
